transID;corridorID;corridorName;tapInStops;tapInStopsName;tapInStopsLat;tapInStopsLon;tapInTime;tapOutStops;tapOutStopsName;tapOutStopsLat;tapOutStopsLon;tapOutTime
CUPO258C0D42PY;9E     ;Kebayoran Lama - Jelambar                 ;B00058P;Apartemen Simprug Teras         ;-6.232197;106.78874;4/3/2023 5:41;P00155 ;Pasar Kebayoran Lama       ;-6.238413;106.78323;4/3/2023 6:35
SBPQ144H4S45RA;M9     ;Pinang Ranti - Pluit                      ;P00093 ;Jembatan Tiga Arah Utara        ;-6.133383;106.79267;4/3/2023 6:24;P00145 ;Pancoran Tugu Arah Barat   ;-6.2433;106.84388;4/3/2023 7:07
ZYRL615G4C05RD;JAK.88 ;Terminal Tanjung Priok - Ancol Barat      ;B00722P;Gunung Sahari Mangga Dua Timur  ;-6.137032;106.83254;4/3/2023 6:43;B05989P;Jln. Ancol Barat 6         ;-6.12481;106.81983;4/3/2023 7:30
MEFW094B7A84RS;T11    ;Poris Plawad - Bundaran Senayan           ;P00206 ;RS Harapan Kita Arah Utara      ;-6.184489;106.79674;4/3/2023 5:13;B05720P;Term. Poris Plawad         ;-6.172859;106.66501;4/3/2023 6:08
ZJVI960B9I42DA;JAK.16 ;Cililitan - Condet                        ;;Lippo Mall Kramat Jati          ;-6.270835;106.86741;4/3/2023 5:08;B01393P;Jln. Mesjid Al Mabruk      ;-6.28435;106.85293;4/3/2023 5:30
RJPK085I1K65HR;6V     ;Ragunan - Gelora Bung Karno               ;P00259 ;Tirtayasa                       ;-6.239207;106.80777;4/3/2023 6:44;P00133 ;Masjid Agung               ;-6.236483;106.79845;4/3/2023 7:11
TFIO518N2X54UT;11Q    ;Kampung Melayu - Pulo Gebang via BKT      ;B02335P;Masjid Jami At Taqwa 2          ;-6.229704;106.8962;4/3/2023 6:45;B05256P;SMAN 100                   ;-6.228401;106.88494;4/3/2023 7:06
SYLN486U0E02TA;JAK.02 ;Kampung Melayu - Duren Sawit              ;B05023P;Simpang Pahlawan Revolusi 1     ;-6.238658;106.899461;4/3/2023 5:43;B03135P;RS Duren Sawit 2           ;-6.232262;106.91019;4/3/2023 6:12
BECP746A8C28NV;11     ;Pulo Gebang - Matraman                    ;P00233 ;St. Jatinegara 2                ;-6.215601;106.86805;4/3/2023 5:48;P00086 ;Jatinegara RS Premier      ;-6.221412;106.86807;4/3/2023 6:33
KYNP204W3G29VA;1C     ;Pesanggrahan - Blok M                     ;B05833P;Univ. Moestopo Bintaro          ;-6.258469;106.76529;4/3/2023 6:00;B00147P;Bintaro Park VIew          ;-6.257977;106.75969;4/3/2023 6:23
MSFD430X8W13TO;3B     ;Rusun Flamboyan - Cengkareng              ;B06299P;Jln. Kayu Besar Dalam           ;-6.122739;106.73129;4/3/2023 5:49;B02195P;Mall Taman Palem 3         ;-6.140548;106.73011;4/3/2023 6:42
MKND874X1D96HF;R1A    ;Pantai Maju - Kota                        ;B06040P;Pantai Maju                     ;-6.093637;106.75068;4/3/2023 5:45;B03322P;SD Diakonia 1              ;-6.112155;106.7893;4/3/2023 6:22
LFYJ535S2I30DP;M1     ;Blok M - Kota                             ;P00183 ;Polda Metro Jaya                ;-6.221094;106.81028;4/3/2023 6:15;P00104 ;Karet Sudirman             ;-6.212457;106.82003;4/3/2023 6:50
KQIA358G2N38CX;7E     ;Kampung Rambutan - Ragunan                ;B02831P;Phe Tower Kebagusan             ;-6.299876;106.83323;4/3/2023 5:11;B02868P;Plaza Oleos                ;-6.29771;106.82965;4/3/2023 5:38
RANO576G1J87EO;1P     ;Senen - Blok M                            ;B00102P;Balai Kota 1                    ;-6.180598;106.82847;4/3/2023 6:26;B00221P;Bundaran Senayan 1         ;-6.227445;106.80187;4/3/2023 6:51
NZCE828E4J23AW;7D     ;Pancoran - Kampung Rambutan               ;P00039 ;Cikoko Stasiun Cawang Arah Barat;-6.243359;106.85815;4/3/2023 6:44;P00145 ;Pancoran Tugu Arah Barat   ;-6.2433;106.84388;4/3/2023 7:28
OFPJ170M5O75AP;6H     ;Senen - Lebak Bulus                       ;P00128 ;Lebak Bulus                     ;-6.289413;106.77415;4/3/2023 5:12;P00121 ;Kuningan Timur             ;-6.234731;106.82902;4/3/2023 5:35
LKXU174O1E59EP;14     ;Jakarta International Stadium - Senen     ;B01311P;Jln. Kwitang Timur              ;-6.173788;106.85185;4/3/2023 6:47;B03885P;Sbr. Jembatan Sukamulya III;-6.170489;106.85205;4/3/2023 7:34
AXTN077R7Z77JM;BW9    ;Monas - Pantai Indah Kapuk                ;B02476P;Monas 2                         ;-6.175999;106.82311;4/3/2023 6:29;B02477P;Monas 3                    ;-6.178787;106.82304;4/3/2023 7:24
WQXL397G5U61OY;JIS3   ;Harmoni - Jakarta International Stadium   ;P00114 ;Kemayoran Landas Pacu Timur     ;-6.152181;106.85424;4/3/2023 6:32;P00161 ;Pecenongan                 ;-6.16771;106.82819;4/3/2023 7:20
RLLZ887W3V14WZ;5M     ;;B02994P;PTUN Jakarta                    ;-6.196388;106.84025;4/3/2023 5:29;B05707P;Term. Kampung Melayu 2     ;-6.224516;106.86685;4/3/2023 5:58
JJEK861K6E37KF;2      ;;P00202 ;Rawa Selatan                    ;-6.173925;106.85809;4/3/2023 5:28;P00137 ;Monas                      ;-6.176248;106.82286;4/3/2023 6:02
UANX737M9L25GI;JAK.15 ;Bulak Turi - Tanjung Priok                ;B02761P;Pertamina Kilang Minyak         ;-6.108789;106.90537;4/3/2023 5:12;B01056P;Jln. Elpa Putih II         ;-6.110053;106.88721;4/3/2023 5:50
VUWZ891M7I57EB;R1A    ;Pantai Maju - Kota                        ;;Jln. BB Utara                   ;-6.120279;106.79409;4/3/2023 6:50;B00242P;Centro Metro Broadway      ;-6.116362;106.76143;4/3/2023 7:30
CXLW459Z3A28RD;6N     ;Ragunan - Blok M via Kemang               ;B00039P;Ampera Garden                   ;-6.288794;106.81818;4/3/2023 5:43;B00066P;Arsip Nasional RI 1        ;-6.279439;106.81987;4/3/2023 6:19
AQPU510X2X44PT;M11    ;Pulo Gebang - Pulo Gadung 2               ;P00102 ;Kampung Sumur                   ;-6.214412;106.91189;4/3/2023 6:02;P00058 ;Flyover Klender            ;-6.213596;106.90306;4/3/2023 6:30
BRUT293K1O98GA;JAK.112;Terminal Tanah Merah - Pulo Gadung        ;B01067P;Jln. Gading Mas Barat IV        ;-6.167384;106.91019;4/3/2023 6:59;B04854P;Simpang Jln. Bongo Raya    ;-6.170743;106.91001;4/3/2023 7:32
MMEX885R3T18QL;9N     ;Pinang Ranti - Pramuka                    ;P00064 ;Garuda Taman Mini               ;-6.290154;106.88116;4/3/2023 5:49;P00016 ;BKN                        ;-6.257751;106.87;4/3/2023 6:39
UNFK619O2R74DX;JAK.43B;Tongtek - Tebet Eco Park (TEP) - Cililitan;B03675P;Sbr. Jln. Cikoko Timur I        ;-6.244364;106.85867;4/3/2023 5:04;B05440P;St. Duren Kalibata 4       ;-6.255071;106.85506;4/3/2023 5:47
FTGY161E2O14MG;JAK.42 ;Kampung Melayu - Pondok Kelapa            ;B03484P;Sbr. Dirjen Anggaran            ;-6.227253;106.898692;4/3/2023 5:35;B03953P;Sbr. Klinik Win Medika     ;-6.22016;106.89843;4/3/2023 5:56
ELVU605Z3W26IF;2      ;Pulo Gadung - Monas                       ;P00202 ;Rawa Selatan                    ;-6.173925;106.85809;4/3/2023 6:35;P00161 ;Pecenongan                 ;-6.16771;106.82819;4/3/2023 7:17
KPDA909R2T72GD;13     ;Ciledug - Tendean                         ;P00044 ;CSW 1                           ;-6.23994;106.79843;4/3/2023 5:51;P00268 ;Velbak                     ;-6.239433;106.78552;4/3/2023 6:16
GIHF067H1Y81IV;7P     ;Pondok Kelapa - BKN                       ;B02032P;Komplek Dolog Jaya              ;-6.24794;106.91572;4/3/2023 6:08;B01624P;Jln. Swakarsa III Pondok Ke;-6.244759;106.94249;4/3/2023 6:40
IXJW013G5W79VX;JAK.02 ;Kampung Melayu - Duren Sawit              ;B02665P;Ps. Pondok Bambu 1              ;-6.238102;106.90243;4/3/2023 6:36;B00636P;Gereja Santa Anna 1        ;-6.233953;106.90998;4/3/2023 7:13
PKAM574R5S22UG;11     ;Pulo Gebang - Matraman                    ;P00151 ;Pasar Enjo                      ;-6.214881;106.87819;4/3/2023 5:13;P00080 ;Imigrasi Jakarta Timur     ;-6.214632;106.88227;4/3/2023 6:02
IQBJ843C4G34DE;JAK.36 ;Cilangkap - Cililitan                     ;B02638P;Ps. Kramat Jati 2               ;-6.269037;106.86664;4/3/2023 5:58;B01428P;Jln. Olahraga 1 Raya Bogor ;-6.267006;106.86595;4/3/2023 6:39
SRIX686S0S08SW;13B    ;Puri Beta - Pancoran Barat                ;P00106 ;Kebayoran Lama                  ;-6.23834;106.77752;4/3/2023 6:33;P00096 ;JORR                       ;-6.236104;106.75488;4/3/2023 7:29
MLTY652D7F29HW;1Q     ;Rempoa - Blok M                           ;B02540P;One Park Residences             ;-6.245436;106.78844;4/3/2023 6:51;B00959P;Jln. Bungur                ;-6.247708;106.7814;4/3/2023 7:29
NICD824U6H93DE;JAK.06 ;Kampung Rambutan - Pondok Gede            ;B01301P;Jln. Kramat Lubang Buaya        ;-6.291363;106.90599;4/3/2023 5:37;B02767P;Pertigaan Cedang 1         ;-6.301603;106.9125;4/3/2023 6:06
YEOK544W1J67OX;JAK.14 ;Tanah Abang - Meruya                      ;B01875P;Kec. Kembangan                  ;-6.195068;106.74247;4/3/2023 5:33;B01180P;Jln. Jeruk Manis           ;-6.197439;106.76534;4/3/2023 6:13
OPNL705D9K64FN;M7     ;Kampung Rambutan - Monas                  ;P00145 ;Pancoran Tugu Arah Barat        ;-6.2433;106.84388;4/3/2023 5:43;P00025 ;Bundaran HI                ;-6.193021;106.823;4/3/2023 6:16
KHKM512K0T88LD;JAK.15 ;Bulak Turi - Tanjung Priok                ;B05351P;SMPN 143                        ;-6.108442;106.93549;4/3/2023 5:15;B01325P;Jln. Lorong 22             ;-6.108141;106.89932;4/3/2023 5:51
RHUT145C1U25ZY;T21    ;;B00589P;GBK Pintu 7                     ;-6.222095;106.80861;4/3/2023 5:43;B02556P;Palem Semi 1               ;-6.218812;106.61807;4/3/2023 6:09
TWAK265Z0M88QR;12A    ;;B05324P;SMKN 56                         ;-6.119094;106.79423;4/3/2023 6:13;P00138 ;Museum Fatahillah          ;-6.13393;106.81209;4/3/2023 6:50
JQIF022K9P74RM;9D     ;Pasar Minggu - Tanah Abang                ;B00693P;Grand Pasar Minggu              ;-6.290648;106.84236;4/3/2023 6:46;B02647P;Pasar Minggu               ;-6.284413;106.84414;4/3/2023 7:09
MQCN972F9X71NY;1      ;Blok M - Kota                             ;P00104 ;Karet Sudirman                  ;-6.212457;106.82003;4/3/2023 6:20;P00133 ;Masjid Agung               ;-6.236483;106.79845;4/3/2023 7:10
KINJ335N6L86YT;3A     ;Rusun Pesakih - Kalideres                 ;B02760P;Pertamina Kalideres Daan Mogot  ;-6.15571;106.70927;4/3/2023 6:38;B03286P;Rusun Pesakih              ;-6.161468;106.71698;4/3/2023 7:03
TDIY341Y5S79UU;6N     ;Ragunan - Blok M via Kemang               ;B04209P;Sbr. Plaza Kemang 88            ;-6.270024;106.81553;4/3/2023 6:51;B03197P;RSIA Kemang                ;-6.285839;106.8188;4/3/2023 7:17
TFRA396G6W78PD;3C     ;Rusun Kapuk Muara - Penjaringan           ;P00170 ;Penjaringan                     ;-6.126306;106.79203;4/3/2023 6:16;B03277P;Rusun Kapuk Muara          ;-6.135667;106.76299;4/3/2023 7:11
GXOP506G9B61EP;M8     ;Lebak Bulus - Pasar Baru                  ;P00245 ;Tanah Kusir Kodim               ;-6.256997;106.78168;4/3/2023 5:19;P00184 ;Pondok Indah 1             ;-6.286761;106.77999;4/3/2023 5:47
XESL868N6A66XN;B21    ;Bekasi Timur - Cawang                     ;B02263P;Masjid Amar Maruf 2             ;-6.255062;107.02206;4/3/2023 5:02;B05622P;Taman Margahayu 2          ;-6.24846;107.02153;4/3/2023 5:57
IVHH403J9T51JH;12A    ;Pelabuhan Kaliadem - Kota                 ;B05253P;SMAK Penabur Enam 2             ;-6.115644;106.77506;4/3/2023 6:12;B02709P;Pelabuhan Kali Adem        ;-6.104615;106.77094;4/3/2023 7:12
YJMS457L2O20JF;JAK.71 ;Kampung Rambutan - Pinang Ranti           ;B03360P;SDN Dukuh 01                    ;-6.287794;106.87406;4/3/2023 5:12;B04218P;Sbr. Polsek Makasar        ;-6.29086;106.8844;4/3/2023 6:06
NNAE999Q4V92XM;JAK.77 ;Tanjung Priok - Jembatan Item             ;B06877P;Simpang Jln. Cemara             ;-6.12663;106.85721;4/3/2023 5:11;B06065P;Puskesmas Sunter Agung I   ;-6.132513;106.85557;4/3/2023 5:35
UCMI767D7M79GS;M3     ;;P00237 ;Sumur Bor                       ;-6.153046;106.71929;4/3/2023 6:49;P00009 ;Bank Indonesia Arah Selatan;-6.184784;106.82326;4/3/2023 7:21
ZHFN555D9L05LU;JAK.44 ;Andara - Stasiun Universitas Pancasila    ;B04386P;Sbr. Sekolah Islam Al Azhar Jaga;-6.330035;106.82621;4/3/2023 5:50;B06832P;Gg. H. Ali                 ;-6.327369;106.83322;4/3/2023 6:37
WHTZ386I9S44YF;14     ;Jakarta International Stadium - Senen     ;B00292P;Danau Agung 1                   ;-6.147281;106.8582;4/3/2023 6:42;B00770P;Honda Letjen Suprapto      ;-6.174933;106.84973;4/3/2023 7:08
VHUC320U1S58CB;JAK.48B;Stasiun Tebet - Kampung Melayu            ;B02272P;Masjid As Sudairi               ;-6.220626;106.8591;4/3/2023 6:12;B01732P;Jatinegara Timur           ;-6.220486;106.86825;4/3/2023 6:57
DBWI728C0M55ND;8K     ;Batusari - Grogol                         ;B05177P;Simpang Tj. Duren Timur 5       ;-6.180482;106.78375;4/3/2023 6:41;B03637P;Sbr. Jln. Angsana Kemanggis;-6.194813;106.78213;4/3/2023 7:20
HHCJ093F0W41XK;JAK.19 ;Pinang Ranti - Kampung Rambutan           ;B00563P;Gg. Suka Damai                  ;-6.295718;106.89906;4/3/2023 5:57;B01297P;Jln. Kramat I Rawabinong   ;-6.298205;106.9054;4/3/2023 6:49
JUNS207R4F95UA;M10    ;PGC 2 - Tanjung Priok                     ;P00287 ;Permai Koja Arah Selatan        ;-6.114359;106.89314;4/3/2023 5:59;P00105 ;Kayu Putih Rawasari        ;-6.187453;106.87542;4/3/2023 6:47
LFIW578V8Y12XO;10D    ;Kampung Rambutan - Tanjung Priok          ;P00036 ;Cempaka Putih                   ;-6.174207;106.87642;4/3/2023 6:03;P00182 ;Plumpang Pertamina Arah Uta;-6.12848;106.8937;4/3/2023 6:28
GYVC538M6B25WO;JAK.75 ;Cililitan - Kp. Pulo                      ;B00671P;Graha Dirgantara                ;-6.255702;106.88296;4/3/2023 5:42;B03786P;Sbr. Jln. Masjid Al Munir  ;-6.271471;106.87734;4/3/2023 6:21
QRFR658M6P01AH;B11    ;Summarecon Bekasi - BNN                   ;B01728P;Jatibening 1                    ;-6.257161;106.94651;4/3/2023 6:08;B00232P;Cawang Blue Bird           ;-6.248836;106.87801;4/3/2023 6:41
TKQW976R2D32RY;JAK.52 ;Terminal Kalideres - Terminal Muara Angke ;B01829P;Karang Asri                     ;-6.112414;106.77306;4/3/2023 5:21;B05714P;Term. Muara Angke 2        ;-6.109001;106.77349;4/3/2023 6:12
PCGM443G2W62OB;JAK.37 ;Cililitan - Condet via Kayu Manis         ;B00908P;Jln. Batu Permata V             ;-6.279588;106.86244;4/3/2023 5:36;B04716P;Simpang Batu Ampar IV Inerb;-6.28148;106.86361;4/3/2023 6:25
PEGV120E5W96OH;JAK.31 ;Blok M - Andara                           ;B03711P;Sbr. Jln. H. Jian 2B Cipete     ;-6.264625;106.8043;4/3/2023 6:07;B05388P;SMPN 68                    ;-6.278279;106.79964;4/3/2023 6:44
BUQT197K3D65PN;11M    ;Rusun Rawa Bebek - Bukit Duri             ;P00169 ;Penggilingan                    ;-6.214132;106.93961;4/3/2023 5:32;P00174 ;Perumnas Klender           ;-6.216689;106.93054;4/3/2023 6:27
UNSO267V8F26WP;JAK.43C;Sarana Jaya - Tebet Eco Park (TEP) - Stasi;B06086P;Tebet Eco Park Selatan 3        ;-6.241699;106.85365;4/3/2023 6:23;B06268P;Rusun Harum Tebet          ;-6.235196;106.85195;4/3/2023 7:14
RHCN069U6G42WD;2F     ;Rusun Cakung Barat - Pulo Gadung          ;B06183P;Jln. Anggrek Raya               ;-6.205168;106.9229;4/3/2023 5:13;P00191 ;PTC Pulo Gadung            ;-6.182622;106.91561;4/3/2023 6:04
QMHC825R0K38KM;M11    ;;P00158 ;Pasar Pulo Gadung               ;-6.187434;106.90591;4/3/2023 6:23;;Walikota Jakarta Timur     ;-6.21254;106.94537;4/3/2023 6:52
WGRY331M3O87VE;3B     ;Rusun Flamboyan - Cengkareng              ;B03206P;RSUD Boulevard Raya             ;-6.13781;106.7304;4/3/2023 6:50;B02195P;Mall Taman Palem 3         ;-6.140548;106.73011;4/3/2023 7:46
TKRV681O2S46RW;8C     ;Kebayoran Lama - Tanah Abang              ;P00083 ;Jak Lingko Tanah Abang          ;-6.185496;106.81105;4/3/2023 5:57;B01638P;Jln. Taman Jatibaru Timur  ;-6.182778;106.8129;4/3/2023 6:55
ELFD362R2U94NT;M2     ;Pulo Gadung - Monas                       ;P00014 ;Bermis                          ;-6.178203;106.89859;4/3/2023 5:20;P00006 ;Atrium                     ;-6.176251;106.84023;4/3/2023 6:04
YYXK265F5N59SE;12B    ;Pluit - Senen                             ;B05080P;Simpang Pluit Raya              ;-6.127123;106.80441;4/3/2023 5:43;P00123 ;Landmark Pluit Auto Plaza  ;-6.125258;106.79971;4/3/2023 6:29
ZGJG301G9Z71AR;5D     ;PGC 1 - Ancol                             ;P00109 ;Matraman Baru                   ;-6.21288;106.86115;4/3/2023 5:28;P00118 ;Kramat Sentiong            ;-6.18798;106.84595;4/3/2023 6:08
KNSE319Q1P35CC;9D     ;Pasar Minggu - Tanah Abang                ;B05716P;Term. Pasar Minggu 2            ;-6.282492;106.84455;4/3/2023 6:25;P00256 ;MH Thamrin                 ;-6.188149;106.82299;4/3/2023 7:11
RMJF585F2W51BQ;JAK.117;Tanjung Priok - Tanah Merdeka             ;B04040P;Sbr. Masjid Ar Rohmah           ;-6.118964;106.89568;4/3/2023 6:23;B04863P;Simpang Jln. Kramat Jaya 1 ;-6.108656;106.91734;4/3/2023 6:55
KFYK655N1H73XS;3H     ;Jelambar - Kota                           ;P00087 ;Jelambar                        ;-6.166548;106.78651;4/3/2023 6:03;P00138 ;Museum Fatahillah          ;-6.13393;106.81209;4/3/2023 6:35
WTBE175B2A58NC;14     ;Jakarta International Stadium - Senen     ;B04647P;Sekolah Penabur Gunung Sahari   ;-6.170053;106.84024;4/3/2023 6:00;B05725P;Term. Senen                ;-6.17356;106.84213;4/3/2023 6:54
SVRH922T8G79FY;JAK.49 ;Lebak Bulus - Cipulir                     ;B01790P;JPO Timur Pondok Indah 1        ;-6.287054;106.77989;4/3/2023 5:59;B05492P;St. MRT Lebak Bulus        ;-6.289421;106.77436;4/3/2023 6:53
WNJA365V4N56HF;7A     ;Kampung Rambutan - Lebak Bulus            ;B00610P;Gelanggang TB Simatupang        ;-6.289097;106.77909;4/3/2023 6:37;B01377P;Jln. Mastrip               ;-6.306793;106.87756;4/3/2023 6:59
XVWU715D9V59FV;JAK.44 ;Andara - Stasiun Universitas Pancasila    ;;Jln. H. Terin Pangkalan Jati    ;-6.327961;106.80054;4/3/2023 6:45;B01846P;Kav Polri Blok E Jagakarsa ;-6.314309;106.81633;4/3/2023 7:36
SLHT241M5V31BZ;7Q     ;Blok M - PGC                              ;B01509P;Jln. Poncol Jaya 1              ;-6.239706;106.81889;4/3/2023 6:35;B02880P;PLN Pusat                  ;-6.240011;106.80376;4/3/2023 7:03
CUBV879R6E17WU;JAK.20 ;Cawang UKI - Lubang Buaya                 ;B03553P;Sbr. Gg. Pos Komodor            ;-6.265515;106.88332;4/3/2023 6:09;B05751P;TK Angkasa 8               ;-6.285191;106.90125;4/3/2023 6:40
SFFW927I8N52GM;1M     ;Meruya - Blok M                           ;B03697P;Sbr. Jln. Flamboyan Srengseng   ;-6.201447;106.75576;4/3/2023 6:23;B01860P;Kebayoran Baru Velbak 2    ;-6.239272;106.78492;4/3/2023 7:02
NZOZ563E7A86QX;JAK.118;Taman Waduk Papanggo - Kota Tua           ;B06696P;Jln. Hidup Baru                 ;-6.1398;106.8352;4/3/2023 6:36;B02213P;Mangga Dua Square          ;-6.135311;106.83102;4/3/2023 7:16
XTVN886V6A58RC;JAK.36 ;Cilangkap - Cililitan                     ;B04977P;Simpang Mabes Hankam Raya Ceger ;-6.306299;106.88855;4/3/2023 6:27;B02576P;Panti Sosial Bina Laras    ;-6.31946;106.89013;4/3/2023 7:23
BNNJ428H8B05IR;5C     ;PGC - Juanda                              ;P00253 ;Tegalan                         ;-6.203101;106.85715;4/3/2023 6:56;P00142 ;Pal Putih                  ;-6.184631;106.84402;4/3/2023 7:27
LDMO585I7Y51LA;JAK.27 ;Pulo Gebang - Rorotan                     ;B02835P;Pintu Air Gempol 1              ;-6.183327;106.95957;4/3/2023 6:56;B00575P;Gg. Umbang Lingkar Timur   ;-6.189303;106.94454;4/3/2023 7:53
CILM584S6W21DC;B11    ;Summarecon Bekasi - BNN                   ;B03155P;RS Mitra Keluarga 1             ;-6.240672;106.99317;4/3/2023 5:55;B00232P;Cawang Blue Bird           ;-6.248836;106.87801;4/3/2023 6:34
WWNB500S1E66DW;6Q     ;Dukuh Atas - Casablanca via Epicentrum Ray;B02082P;Casablanca                      ;-6.22425;106.84452;4/3/2023 6:09;B04109P;Sbr. Multivision Tower     ;-6.212375;106.83303;4/3/2023 6:38
SLIM980A3X96XT;4E     ;Rusun Jatinegara Kaum - Pulo Gadung       ;B02319P;Masjid Jami Al Makmur Klender   ;-6.212322;106.90082;4/3/2023 6:08;B05798P;Transjakarta Pool Klender  ;-6.205191;106.90301;4/3/2023 6:48
XHEU123Y1Z09JV;JAK.13 ;;B04949P;Simpang Kopi Bandengan Selatan  ;-6.135839;106.80689;4/3/2023 6:37;B02692P;Ps. Tomas                  ;-6.179192;106.81306;4/3/2023 7:13
MHRF005V2N53OQ;JIS3   ;Harmoni - Jakarta International Stadium   ;B04789P;Simpang Danau Sunter Utara Barat;-6.139853;106.85663;4/3/2023 6:55;B01745P;Jembatan Item              ;-6.130078;106.85492;4/3/2023 7:43
IKZD231G3P02MZ;JAK.84 ;Terminal Kampung Melayu - Kapin Raya      ;B02598P;Ps. Ciplak Cibesel              ;-6.236104;106.88067;4/3/2023 6:58;B05824P;Univ. Borobudur 1          ;-6.24157;106.89641;4/3/2023 7:44
AVMF680H1S53KJ;2H     ;Rusun Jati Rawasari - Senen               ;B04344P;Sbr. SDN Johar Baru 10          ;-6.181178;106.86028;4/3/2023 6:49;B03273P;Rusun Jati Rawasari        ;-6.183517;106.86389;4/3/2023 7:39
HOIM404G0W62HL;JAK.08 ;Roxy - Benhil                             ;B04088P;Sbr. Mess Polwan Esthi Bhakti Wa;-6.206604;106.81005;4/3/2023 5:46;B01925P;Kel. Kb. Kacang            ;-6.190837;106.81501;4/3/2023 6:44
YTOA058V9U73VN;T21    ;Palem Semi - Bundaran Senayan             ;B00808P;Islamic                         ;-6.228521;106.61473;4/3/2023 6:37;B02557P;Palem Semi 2               ;-6.220361;106.61649;4/3/2023 7:20
YEZH881F9T50DI;8E     ;Bintaro - Blok M                          ;B01822P;Kantor Pos Kebayoran Lama       ;-6.249119;106.778;4/3/2023 5:18;P00155 ;Pasar Kebayoran Lama       ;-6.238413;106.78323;4/3/2023 5:58
VBTE237H7I30UK;JAK.23 ;Senen - Pisangan Baru                     ;B06443P;Jln. Pramuka 1                  ;-6.195283;106.860021;4/3/2023 6:53;B06129P;BPPK Jakarta               ;-6.189843;106.85885;4/3/2023 7:24
